Mixture,Mo/Ma,T cells,Neutrophils,Mast cells,B cells,Dendritic cells,P-value,Correlation,RMSE
A30,0.921223853717245,0,0.0635883075286742,0,0,0.0151878387540812,0,0.53572296327072,0.912553983493653
A33,0.956012431422704,0.0439875685772965,0,0,0,0,0,0.633236486820439,0.822988293310924
A44,0.955038274791235,0,0,0,0,0.0449617252087652,0,0.59858453608415,0.862350807848619
A46,0.973582977954803,0,0,0,0,0.0264170220451967,0,0.650906395050847,0.808764179054158
A51,0.999931586428261,0,0,0,0,6.84135717392747e-05,0,0.534602873161062,0.940494772586089
A52,0.821814885923635,0.0273751702338594,0.141887923278365,0,0.000263118515125258,0.00865890204901548,0,0.527310391757028,0.892282597015095
A56,0.980064594682709,0,0.0149770058426429,0,0.00495839947464756,0,0,0.556000060476733,0.911397727097639
A61,0.968830771754012,0,0.0311692282459883,0,0,0,0,0.474434492694477,0.986591983023461
A67,0.889645430045047,0.110354569954954,0,0,0,0,0,0.607832847739317,0.834240186161237
A68,0.961011050249656,0.0389889497503436,0,0,0,0,0,0.590117616841899,0.870968065452563
A87,0.95252141790293,0,0,0,0,0.0474785820970699,0,0.546289675980323,0.915699251589644
A89,1,0,0,0,0,0,0,0.57842707561222,0.895274048378285
A90,0.944888686060968,0,0,0,0,0.0551113139390315,0,0.579772272736492,0.879704582614848
A91,0.981566417101064,0,0,0,0,0.0184335828989361,0,0.606897360432627,0.85987213127521
A94,0.967120277582272,0,0,0,0,0.0328797224177277,0,0.596171606429405,0.867838661978767
